SeqName	SeqDesc	GOTerms	Enzymes	KeggMaps
dp_gene4761	Carboxypeptidase B2	extracellular space;metallocarboxypeptidase activity;zinc ion binding;proteolysis		
dp_gene4762	Zinc carboxypeptidase	extracellular space;metallocarboxypeptidase activity;zinc ion binding;proteolysis		
dp_gene4763	Receptor-transporting	intracellular;membrane;olfactory receptor binding;protein targeting to membrane;sensory perception of chemical stimulus;protein insertion into membrane		
dp_gene4764	NFX1-type zinc finger-containing	nucleus;transcription factor activity, sequence-specific DNA binding;zinc ion binding;regulation of transcription, DNA-templated		
dp_gene4765	Jmjc domain-containing histone demethylation			
dp_gene4766	Origin recognition complex subunit 2	origin recognition complex;nucleus;DNA replication		
dp_gene4767	---NA---			
dp_gene4768	Origin recognition complex subunit	origin recognition complex;nucleus;DNA replication		
dp_gene4769	Venom allergen 5	extracellular region		
dp_gene4770	Venom allergen	extracellular region		
dp_gene4771	---NA---			
dp_gene4772	DNA polymerase III subunits gamma and tau domain-containing			
dp_gene4773	mucin-2-like isoform X2			
dp_gene4774	DNA polymerase III subunits gamma and tau domain-containing			
dp_gene4775	DNA polymerase III subunits gamma and tau domain-containing			
dp_gene4776	DNA polymerase III subunits gamma and tau domain-containing	integral component of membrane		
dp_gene4777	Lysosomal acid lipase cholesteryl ester hydrolase	hydrolase activity, acting on ester bonds;lipid catabolic process		
dp_gene4778	Gastric triacylglycerol lipase precursor	membrane;hydrolase activity, acting on ester bonds;lipid catabolic process		
dp_gene4779	Gastric triacylglycerol lipase precursor	integral component of membrane;hydrolase activity, acting on ester bonds;lipid metabolic process		
dp_gene4780	Arrestin domain-containing			
dp_gene4781	von Willebrand factor type EGF and pentraxin domain-containing 1-like	calcium ion binding		
dp_gene4782	von Willebrand factor type EGF and pentraxin domain-containing 1-like	calcium ion binding		
dp_gene4783	von Willebrand factor type EGF and pentraxin domain containing mRNA	calcium ion binding		
dp_gene4784	UPF0462 C4orf33 homolog			
dp_gene4785	heavy subunit	cell;ferroxidase activity;ferric iron binding;iron ion transport;cellular iron ion homeostasis;oxidation-reduction process		
dp_gene4786	60S ribosomal L21	cytosolic large ribosomal subunit;structural constituent of ribosome;translation		
dp_gene4787	Carboxyl-ester lipase			
dp_gene4788	hypothetical protein DAPPUDRAFT_317132	nucleic acid binding		
dp_gene4789	Alpha-1,3 1,6-mannosyltransferase ALG2	membrane;transferase activity, transferring glycosyl groups		
dp_gene4790	gastrulation defective 1 homolog			
dp_gene4791	kelch 5 isoform X1	cytoplasm;cytoskeleton;Cul3-RING ubiquitin ligase complex;actin binding;ubiquitin-protein transferase activity;protein ubiquitination		
dp_gene4792	Chorion peroxidase precursor			
dp_gene4793	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	membrane		
dp_gene4794	DNA-(apurinic or apyrimidinic site) lyase 2	nucleus;DNA binding;DNA-(apurinic or apyrimidinic site) lyase activity;zinc ion binding;double-stranded DNA 3'-5' exodeoxyribonuclease activity;base-excision repair;nucleic acid phosphodiester bond hydrolysis		
dp_gene4795	hypothetical protein DAPPUDRAFT_305735	cytoplasm;plasma membrane;epoxide hydrolase activity;zinc ion binding;peptide binding;metalloaminopeptidase activity;proteolysis;peptide catabolic process;cellular lipid metabolic process		
dp_gene4796	bestrophin-2-like isoform X3	integral component of plasma membrane;chloride channel complex;chloride channel activity;chloride transmembrane transport		
dp_gene4797	hypothetical protein DAPPUDRAFT_311810	integral component of membrane		
dp_gene4798	hypothetical protein DAPPUDRAFT_225691	integral component of membrane		
dp_gene4799	gamma-butyrobetaine dioxygenase	oxidoreductase activity;oxidation-reduction process		
dp_gene4800	hypothetical protein DAPPUDRAFT_120785			
dp_gene4801	KIAA0100	integral component of membrane		
dp_gene4802	ferritin 3	cell;ferroxidase activity;ferric iron binding;iron ion transport;cellular iron ion homeostasis;oxidation-reduction process		
dp_gene4803	60S ribosomal L21	cytosolic large ribosomal subunit;structural constituent of ribosome;translation		
dp_gene4804	E3 ubiquitin- ligase RNF103	integral component of membrane;catalytic activity;zinc ion binding		
dp_gene4805	actin 6B	Ino80 complex;NuA4 histone acetyltransferase complex;DNA repair;chromatin remodeling;regulation of transcription, DNA-templated		
dp_gene4806	Carboxyl-ester lipase			
dp_gene4807	Alpha-1,3 1,6-mannosyltransferase ALG2	transferase activity, transferring glycosyl groups		
dp_gene4808	gastrulation defective 1 homolog			
dp_gene4809	kelch 5 isoform X1	Cul3-RING ubiquitin ligase complex;ubiquitin-protein transferase activity;protein ubiquitination		
dp_gene4810	ATP synthase mitochondrial F1 complex assembly factor 1	mitochondrion;mitochondrial proton-transporting ATP synthase complex assembly		
dp_gene4811	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	integral component of membrane		
dp_gene4812	DNA-(apurinic or apyrimidinic site) lyase 2	nucleus;DNA binding;DNA-(apurinic or apyrimidinic site) lyase activity;zinc ion binding;double-stranded DNA 3'-5' exodeoxyribonuclease activity;base-excision repair;nucleic acid phosphodiester bond hydrolysis		
dp_gene4813	hypothetical protein DAPPUDRAFT_95968			
dp_gene4814	hypothetical protein DAPPUDRAFT_95968	membrane		
dp_gene4815	hypothetical protein DAPPUDRAFT_300848	integral component of membrane		
dp_gene4816	hypothetical protein DAPPUDRAFT_221111	cellular component assembly		
dp_gene4817	hypothetical protein DAPPUDRAFT_95968			
dp_gene4818	hypothetical protein DAPPUDRAFT_272308			
dp_gene4819	hypothetical protein DAPPUDRAFT_101612			
dp_gene4820	hypothetical protein DAPPUDRAFT_221393	integral component of membrane;Golgi cisterna membrane;fucosyltransferase activity;protein glycosylation;fucosylation		
dp_gene4821	Alpha--fucosyltransferase C	integral component of membrane;Golgi cisterna membrane;fucosyltransferase activity;protein glycosylation;fucosylation		
dp_gene4822	hypothetical protein DAPPUDRAFT_305735	cytoplasm;plasma membrane;epoxide hydrolase activity;zinc ion binding;peptide binding;metalloaminopeptidase activity;proteolysis;peptide catabolic process;cellular lipid metabolic process		
dp_gene4823	bestrophin-2-like isoform X2	integral component of plasma membrane;chloride channel complex;chloride channel activity;chloride transmembrane transport		
dp_gene4824	gamma-butyrobetaine dioxygenase-like	oxidoreductase activity;oxidation-reduction process		
dp_gene4825	Btb poz domain-containing			
dp_gene4826	Btb poz domain-containing			
dp_gene4827	carbohydrate sulfotransferase 11-like	integral component of membrane;sulfotransferase activity;carbohydrate biosynthetic process		
dp_gene4828	neuroepithelial cell-transforming gene 1 -like	Rho guanyl-nucleotide exchange factor activity;regulation of Rho protein signal transduction;positive regulation of GTPase activity		
dp_gene4829	UDP-N-acetylglucosamine transporter	Golgi membrane;integral component of membrane;sugar:proton symporter activity;carbohydrate transport;proton transport		
dp_gene4830	homeobox onecut	nucleus;DNA binding;transcription, DNA-templated;regulation of transcription, DNA-templated		
dp_gene4831	F-box LRR-repeat 5-like	intracellular part;iron ion homeostasis;positive regulation of cellular protein catabolic process		
dp_gene4832	carbohydrate sulfotransferase 11-like	integral component of membrane;sulfotransferase activity;carbohydrate biosynthetic process		
dp_gene4833	alpha-carbonic anhydrase	carbonate dehydratase activity;zinc ion binding;one-carbon metabolic process		
dp_gene4834	Isobutyryl- mitochondrial	mitochondrion;fatty-acyl-CoA binding;acyl-CoA dehydrogenase activity;electron carrier activity;flavin adenine dinucleotide binding;oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor;fatty acid beta-oxidation using acyl-CoA dehydrogenase;lipid homeostasis		
dp_gene4835	argonaute-2-like isoform X2	nucleic acid binding		
dp_gene4836	thyroid transcription factor 1-associated 26 homolog			
dp_gene4837	pantetheinase isoform X3	membrane;extracellular region part;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides;nitrogen compound metabolic process;inflammatory response;single-organism process;regulation of cellular process		
dp_gene4838	prostaglandin reductase 1-like	zinc ion binding;13-prostaglandin reductase activity;15-oxoprostaglandin 13-oxidase activity;prostaglandin metabolic process;oxidation-reduction process		
dp_gene4839	Autophagy-related 101	pre-autophagosomal structure;autophagosome assembly		
dp_gene4840	myosin-i heavy chain			
dp_gene4841	Microsomal triglyceride transfer large subunit	lipid transporter activity;lipid transport		
dp_gene4842	Microsomal triglyceride transfer large subunit	lipid transporter activity;lipid transport		
dp_gene4843	Microsomal triglyceride transfer large subunit	lipid transporter activity;lipid transport		
dp_gene4844	Flocculation FLO11			
dp_gene4845	hypothetical protein DAPPUDRAFT_240833			
dp_gene4846	hypothetical protein DAPPUDRAFT_252976			
dp_gene4847	hypothetical protein DAPPUDRAFT_234294			
dp_gene4848	hypothetical protein DAPPUDRAFT_236590	membrane;cell part;catalytic activity		
dp_gene4849	Serine ase stubble	serine-type endopeptidase activity;proteolysis		
dp_gene4850	UBA-like domain-containing 1	integral component of membrane		
dp_gene4851	Terminal uridylyltransferase	nucleic acid binding;zinc ion binding;nucleotidyltransferase activity		
dp_gene4852	Cell division ftsj			
dp_gene4853	hypothetical protein DAPPUDRAFT_328416			
dp_gene4854	NFX1-type zinc finger-containing	nucleus;transcription factor activity, sequence-specific DNA binding;zinc ion binding;regulation of transcription, DNA-templated		
dp_gene4855	hypothetical protein DAPPUDRAFT_305553			
dp_gene4856	Secreted salivary gland peptide			
dp_gene4857	coiled-coil domain-containing 112-like			
dp_gene4858	Histidine ammonia-lyase	cytoplasm;histidine ammonia-lyase activity;histidine catabolic process to glutamate and formamide;histidine catabolic process to glutamate and formate		
dp_gene4859	---NA---			
dp_gene4860	Superoxide dismutase [Cu-Zn]	extracellular space;nucleoplasm;peroxisome;cytosol;plasma membrane;integral component of membrane;extracellular matrix;cytoplasmic vesicle;dendrite cytoplasm;neuronal cell body;protein complex;mitochondrial part;extracellular exosome;superoxide dismutase activity;copper ion binding;zinc ion binding;protein phosphatase 2B binding;identical protein binding;Rac GTPase binding;chaperone binding;positive regulation of cytokine production;cell aging;response to organic substance;cellular component organization;removal of superoxide radicals;positive regulation of superoxide anion generation;homeostatic process;positive regulation of catalytic activity;regulation of GTPase activity;single organism reproductive process;single-organism transport;negative regulation of cholesterol biosynthetic process;regulation of protein kinase activity;animal organ development;hydrogen peroxide biosynthetic process;regulation of developmental process;regulation of mitochondrial membrane potential;oxidation-reduction process;heart contraction;positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway		
dp_gene4861	Mitochondrial intermembrane space import and assembly 40-B	ribonuclease activity;tRNA processing;RNA phosphodiester bond hydrolysis		
dp_gene4862	actin-5C	lipid particle;microtubule associated complex;actin filament;plasma membrane;focal adhesion;Ino80 complex;brahma complex;dense body;structural constituent of cytoskeleton;ATP binding;mitotic cytokinesis;inter-male aggressive behavior;chromatin remodeling;phagocytosis;cytoskeleton organization;sperm individualization;mushroom body development;maintenance of protein location in cell;tube formation		
dp_gene4863	formin 7	integral component of membrane		
dp_gene4864	Ubiquitin-conjugating enzyme E2 S			
dp_gene4865	Ubiquitin-conjugating enzyme E2 S	nucleus;cytoplasm;ATP binding;ubiquitin protein ligase binding;ubiquitin protein ligase activity;protein polyubiquitination;ubiquitin-dependent protein catabolic process		
dp_gene4866	ADP-ribosylation factor 6-interacting 1	integral component of membrane		
dp_gene4867	Open rectifier potassium channel 1	integral component of plasma membrane;potassium ion leak channel activity;stabilization of membrane potential;potassium ion transmembrane transport		
dp_gene4868	Cytochrome p450	membrane;monooxygenase activity;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;heme binding;oxidation-reduction process		
dp_gene4869	WW domain-binding 2			
dp_gene4870	high choriolytic enzyme 1-like	metalloendopeptidase activity;zinc ion binding;proteolysis		
dp_gene4871	ER lumen -retaining receptor	endoplasmic reticulum membrane;integral component of membrane;ER retention sequence binding;protein retention in ER lumen;protein transport		
dp_gene4872	Phosphatidylinositol 4-kinase type 2-beta	kinase activity;phosphorylation		
dp_gene4873	villin-1-like isoform X1	actin binding;calcium ion binding;actin nucleation;actin filament severing;barbed-end actin filament capping		
dp_gene4874	advillin isoform X1	actin binding;calcium ion binding;actin nucleation;actin filament severing;barbed-end actin filament capping		
dp_gene4875	Anaphase-promoting complex subunit 2	anaphase-promoting complex;kinesin complex;microtubule;microtubule motor activity;ATP binding;microtubule binding;ATPase activity;ubiquitin protein ligase binding;ubiquitin protein ligase activity;actomyosin contractile ring assembly;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;mitotic spindle midzone assembly;plus-end-directed vesicle transport along microtubule		
dp_gene4876	Zona pellucida domain-containing	integral component of membrane;epithelial cell development;molting cycle process;cuticle development		
dp_gene4877	Exosome complex component RRP4	nuclear exosome (RNase complex);cytoplasmic exosome (RNase complex);RNA binding;exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5';U4 snRNA 3'-end processing;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay;CUT catabolic process;nuclear polyadenylation-dependent rRNA catabolic process;nuclear polyadenylation-dependent tRNA catabolic process;nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription;polyadenylation-dependent snoRNA 3'-end processing		
dp_gene4878	CDP-diacylglycerol--glycerol-3-phosphate 3- mitochondrial	mitochondrion;CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity;phospholipid biosynthetic process		
dp_gene4879	Sentrin-specific protease 6	cysteine-type peptidase activity;proteolysis		
dp_gene4880	Btb poz domain-containing			
dp_gene4881	Para-nitrobenzyl esterase	extracellular space;integral component of plasma membrane;cell surface;synapse;receptor activity;neurexin family protein binding;carboxylic ester hydrolase activity;neuron cell-cell adhesion;synapse assembly;modulation of synaptic transmission		
dp_gene4882	Endocuticle structural glyco bd-2	extracellular space;structural constituent of cuticle		
dp_gene4883	Endocuticle structural glyco bd-2	extracellular space;structural constituent of cuticle		
dp_gene4884	Cytochrome p450	integral component of membrane;monooxygenase activity;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;heme binding;oxidation-reduction process		
dp_gene4885	neuroligin- X-linked-like	extracellular space;integral component of membrane;carboxylic ester hydrolase activity		
dp_gene4886	esterase and lipase	extracellular space;integral component of membrane;carboxylic ester hydrolase activity		
dp_gene4887	neuroligin 5 isoform X1	extracellular space;membrane;carboxylic ester hydrolase activity		
dp_gene4888	Glucosyl glucuronosyl transferases	plasma membrane;integral component of membrane;transferase activity;sensory perception of taste		
dp_gene4889	G -activated inward rectifier potassium channel 3-like isoform X3	integral component of plasma membrane;inward rectifier potassium channel activity;transferase activity;potassium ion import;regulation of ion transmembrane transport		
dp_gene4890	polymerase delta-interacting 3-like	transcription export complex;cytosol;nuclear speck;exon-exon junction complex;nucleotide binding;nucleic acid binding;protein binding;termination of RNA polymerase II transcription;poly(A)+ mRNA export from nucleus;mRNA 3'-end processing;positive regulation of translation		
dp_gene4891	Inward rectifier potassium channel	integral component of plasma membrane;inward rectifier potassium channel activity;potassium ion import;regulation of ion transmembrane transport		
dp_gene4892	40S ribosomal S9	cytosolic small ribosomal subunit;structural constituent of ribosome;rRNA binding;translation;positive regulation of translational fidelity		
dp_gene4893	Flocculation FLO11	membrane		
dp_gene4894	Pancreatic triacylglycerol lipase	extracellular region;carboxylic ester hydrolase activity		
dp_gene4895	Flocculation FLO11	membrane		
dp_gene4896	Pancreatic triacylglycerol lipase	extracellular region;carboxylic ester hydrolase activity		
dp_gene4897	Pancreatic triacylglycerol lipase	extracellular region;carboxylic ester hydrolase activity		
dp_gene4898	Rab11 family-interacting			
dp_gene4899	collagen alpha-1(I) chain			
dp_gene4900	Cytochrome p450	monooxygenase activity;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;heme binding;oxidation-reduction process		
dp_gene4901	DNL-type zinc finger	mitochondrion;zinc ion binding;oxidoreductase activity;chaperone binding;protein folding;protein import into mitochondrial matrix;protein stabilization;oxidation-reduction process		
dp_gene4902	grpE mitochondrial	mitochondrial matrix;adenyl-nucleotide exchange factor activity;protein homodimerization activity;chaperone binding;protein folding;regulation of catalytic activity		
dp_gene4903	Glass	DNA binding;metal ion binding		
dp_gene4904	Btb poz domain-containing			
dp_gene4905	Btb poz domain-containing			
dp_gene4906	Btb poz domain-containing			
dp_gene4907	Btb poz domain-containing			
dp_gene4908	UPF0454 C12orf49 homolog	integral component of membrane		
dp_gene4909	isoforms B C	membrane		
dp_gene4910	modifier of mdg4-like	nucleus;nucleic acid binding;metal ion binding;regulation of transcription from RNA polymerase II promoter		
dp_gene4911	RING finger	intracellular;zinc ion binding		
dp_gene4912	---NA---			
dp_gene4913	max dimerization 1-like	protein dimerization activity		
dp_gene4914	mrna cleavage and polyadenylation factor ia ii complex subunit clp1	mRNA cleavage factor complex;ATP binding;polynucleotide 5'-hydroxyl-kinase activity;mRNA polyadenylation;mRNA cleavage;tRNA splicing, via endonucleolytic cleavage and ligation;phosphorylation		
dp_gene4915	hypothetical protein DAPPUDRAFT_318334	microtubule;adherens junction;bicellular tight junction;lateral plasma membrane;GTPase activator activity;beta-tubulin binding;microtubule cytoskeleton organization;protein folding;tubulin complex assembly;adherens junction assembly;positive regulation of GTPase activity;bicellular tight junction assembly		
dp_gene4916	hypothetical protein DAPPUDRAFT_96607	integral component of membrane		
dp_gene4917	hypothetical protein DAPPUDRAFT_304785			
dp_gene4918	Hydroxyacylglutathione mitochondrial	hydroxyacylglutathione hydrolase activity;methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione		
dp_gene4919	p53 and DNA damage-regulated 1			
dp_gene4920	intraflagellar transport 140 homolog	photoreceptor outer segment;centrosome;axoneme;intraciliary transport particle A;motile cilium;photoreceptor connecting cilium;ciliary basal body;ciliary tip;determination of left/right symmetry;heart development;regulation of smoothened signaling pathway;neural tube patterning;embryonic camera-type eye development;intraciliary retrograde transport;photoreceptor cell outer segment organization;embryonic digit morphogenesis;embryonic cranial skeleton morphogenesis;retina development in camera-type eye;protein localization to cilium;renal system development;regulation of cilium assembly;non-motile cilium assembly;embryonic brain development		
dp_gene4921	intraflagellar transport 140 homolog	motile cilium		
dp_gene4922	Microphthalmia-associated transcription factor	integral component of membrane;protein dimerization activity;humoral immune response;regulation of osteoclast differentiation;positive regulation of transcription, DNA-templated		
dp_gene4923	Microphthalmia-associated transcription factor	integral component of membrane;protein dimerization activity;humoral immune response;regulation of osteoclast differentiation;positive regulation of transcription, DNA-templated		
dp_gene4924	TELO2-interacting 1 homolog			
dp_gene4925	alpha-carbonic anhydrase	carbonate dehydratase activity;zinc ion binding;one-carbon metabolic process		
dp_gene4926	Ubie coq5 methyltransferase	cytoplasm;S-adenosylmethionine-dependent methyltransferase activity;methylation		
dp_gene4927	General transcription factor 3C polypeptide 3			
dp_gene4928	c-type lectin ctl - mannose binding			
dp_gene4929	c-type lectin ctl - mannose binding			
dp_gene4930	Ubie coq5 methyltransferase	cytoplasm;S-adenosylmethionine-dependent methyltransferase activity;methylation		
dp_gene4931	Ubie coq5 methyltransferase	cytoplasm;membrane;S-adenosylmethionine-dependent methyltransferase activity;methylation		
dp_gene4932	alpha-carbonic anhydrase	carbonate dehydratase activity;zinc ion binding;one-carbon metabolic process		
dp_gene4933	TAPT1 homolog	integral component of membrane		
dp_gene4934	D2-like isoform X1			
dp_gene4935	D2-like isoform X2			
dp_gene4936	fem-1 homolog A isoform X1			
dp_gene4937	NADPH-dependent diflavin oxidoreductase 1	cytoplasm;NADPH-hemoprotein reductase activity;FMN binding;flavin adenine dinucleotide binding;NADP binding;iron-sulfur cluster assembly;oxidation-reduction process		
dp_gene4938	G -coupled receptor kinase 2 isoform X1	G-protein coupled receptor kinase activity;ATP binding;protein phosphorylation;signal transduction		
dp_gene4939	Beta-mannosidase	membrane;intracellular membrane-bounded organelle;beta-mannosidase activity;carbohydrate metabolic process		
dp_gene4940	Cytoplasmic phosphatidylinositol transfer 1	intracellular;transferase activity;transport		
dp_gene4941	hypothetical protein DAPPUDRAFT_311670	integral component of membrane		
dp_gene4942	hemoglobin	extracellular region;hemoglobin complex;oxygen transporter activity;iron ion binding;oxygen binding;heme binding;oxygen transport		
dp_gene4943	hypothetical protein DAPPUDRAFT_305526			
dp_gene4944	Geranylgeranyl transferase type-1 subunit beta	CAAX-protein geranylgeranyltransferase complex;CAAX-protein geranylgeranyltransferase activity;protein geranylgeranylation		
dp_gene4945	Geranylgeranyl transferase type-1 subunit beta	CAAX-protein geranylgeranyltransferase complex;CAAX-protein geranylgeranyltransferase activity;protein geranylgeranylation		
dp_gene4946	Proline-rich PRCC			
dp_gene4947	Flocculation FLO11			
dp_gene4948	PREDICTED: LOW QUALITY PROTEIN: protocadherin-1			
dp_gene4949	hypothetical protein DAPPUDRAFT_234248			
dp_gene4950	Geranylgeranyl transferase type-1 subunit beta	CAAX-protein geranylgeranyltransferase complex;CAAX-protein geranylgeranyltransferase activity;protein geranylgeranylation		
dp_gene4951	Proline-rich PRCC			
dp_gene4952	Geranylgeranyl transferase type-1 subunit beta	CAAX-protein geranylgeranyltransferase complex;CAAX-protein geranylgeranyltransferase activity;protein geranylgeranylation		
dp_gene4953	hypothetical protein DAPPUDRAFT_305702			
dp_gene4954	hemoglobin	extracellular region;hemoglobin complex;oxygen transporter activity;iron ion binding;oxygen binding;heme binding;oxygen transport		
dp_gene4955	di-domain hemoglobin precursor	extracellular region;hemoglobin complex;oxygen transporter activity;iron ion binding;oxygen binding;heme binding;oxygen transport		
dp_gene4956	hemoglobin	extracellular region;hemoglobin complex;oxygen transporter activity;iron ion binding;oxygen binding;heme binding;oxygen transport		
dp_gene4957	hemoglobin	extracellular region;hemoglobin complex;oxygen transporter activity;iron ion binding;oxygen binding;heme binding;oxygen transport		
dp_gene4958	hemoglobin	binding;transport		
dp_gene4959	hemoglobin	binding;transport		
dp_gene4960	2-domain hemoglobin	binding;transport		
dp_gene4961	hemoglobin	binding;transport		
dp_gene4962	Acetyl- cytosolic	transferase activity, transferring acyl groups other than amino-acyl groups;metabolic process		
dp_gene4963	Endocuticle structural glyco bd-2	extracellular space;structural constituent of cuticle		
dp_gene4964	hypothetical protein DAPPUDRAFT_221306	extracellular space;structural constituent of cuticle		
dp_gene4965	Sex-determining fem-1			
dp_gene4966	hypothetical protein DAPPUDRAFT_318602			
dp_gene4967	hypothetical protein DAPPUDRAFT_235766	nucleus;integral component of membrane		
dp_gene4968	hypothetical protein DAPPUDRAFT_311335	integral component of membrane		
dp_gene4969	hypothetical protein DAPPUDRAFT_234248			
dp_gene4970	hypothetical protein DAPPUDRAFT_302619			
dp_gene4971	---NA---			
dp_gene4972	hypothetical protein DAPPUDRAFT_334591			
dp_gene4973	hypothetical protein DAPPUDRAFT_301680			
dp_gene4974	hypothetical protein DAPPUDRAFT_305523	extracellular space;structural constituent of cuticle		
dp_gene4975	hypothetical protein DAPPUDRAFT_305522	extracellular space;structural constituent of cuticle		
dp_gene4976	hypothetical protein DAPPUDRAFT_305701			
dp_gene4977	hypothetical protein DAPPUDRAFT_311650			
dp_gene4978	Acetyl- cytosolic	nucleus;transferase activity, transferring acyl groups other than amino-acyl groups;metabolic process		
dp_gene4979	hypothetical protein DAPPUDRAFT_221306	extracellular space;structural constituent of cuticle		
dp_gene4980	Sex-determining fem-1			
dp_gene4981	Uncharacterized protein APZ42_022639	integral component of membrane		
dp_gene4982	hypothetical protein DAPPUDRAFT_96294	integral component of membrane		
dp_gene4983	UDP-glucose 4-epimerase	UDP-glucose 4-epimerase activity;galactose metabolic process		
dp_gene4984	5 -nucleotidase	nucleotide binding;hydrolase activity;nucleotide catabolic process		
dp_gene4985	5NUC-like	membrane;nucleotide binding;hydrolase activity;nucleotide catabolic process		
dp_gene4986	SET and MYND domain-containing 4-like			
dp_gene4987	ankyrin repeat domain-containing 6	regulation of canonical Wnt signaling pathway		
dp_gene4988	Steroid reductase	cytoplasm;integral component of membrane;oxidoreductase activity, acting on the CH-CH group of donors;lipid metabolic process;oxidation-reduction process		
dp_gene4989	AMP-dependent synthetase	catalytic activity;metabolic process		
dp_gene4990	4-coumarate-- ligase 1-like	catalytic activity;metabolic process		
dp_gene4991	hypothetical protein DAPPUDRAFT_311633	integral component of membrane		
dp_gene4992	hypothetical protein DAPPUDRAFT_96286	integral component of membrane		
dp_gene4993	Lactosylceramide	integral component of membrane		
dp_gene4994	hypothetical protein DAPPUDRAFT_306345			
dp_gene4995	hypothetical protein DAPPUDRAFT_341554	integral component of membrane		
dp_gene4996	---NA---			
dp_gene4997	Sodium potassium-transporting ATPase alpha-3 chain	integral component of plasma membrane;intracellular membrane-bounded organelle;sodium:potassium-exchanging ATPase activity;ATP binding;metal ion binding;cellular sodium ion homeostasis;potassium ion import;establishment or maintenance of transmembrane electrochemical gradient;ATP hydrolysis coupled proton transport;cellular potassium ion homeostasis;sodium ion export from cell;sensory perception of taste		
dp_gene4998	Sorting nexin-5	endosome;extrinsic component of membrane;phosphatidylinositol binding;endocytosis;vesicle organization		
dp_gene4999	Chitin deacetylase 9	extracellular region;chitinase activity;chitin binding;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;carbohydrate metabolic process;chitin catabolic process		
dp_gene5000	Chitin deacetylase 9	extracellular region;chitinase activity;chitin binding;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;carbohydrate metabolic process;chitin catabolic process		
dp_gene5001	Ubiquitin- e3 ligase	membrane;zinc ion binding		
dp_gene5002	Ubiquitin- e3 ligase	integral component of peroxisomal membrane;zinc ion binding;ligase activity;protein import into peroxisome matrix		
dp_gene5003	Sodium potassium-transporting ATPase alpha-3 chain	plasma membrane;integral component of membrane;nucleotide binding;hydrolase activity;ion binding;monovalent inorganic cation transport;metal ion transport;sensory perception of taste;transmembrane transport		
dp_gene5004	Sodium potassium-transporting ATPase alpha-3 chain	plasma membrane;integral component of membrane;catalytic activity;binding;ion transport;sensory perception of taste		
dp_gene5005	Glucosyl glucuronosyl transferases	integral component of membrane;intracellular membrane-bounded organelle;UDP-glycosyltransferase activity;transferase activity, transferring hexosyl groups;flavonoid biosynthetic process;flavonoid glucuronidation		
dp_gene5006	Gustatory receptor r1	plasma membrane;integral component of membrane;sensory perception of taste		
dp_gene5007	Glucosyl glucuronosyl transferases	plasma membrane;integral component of membrane;sensory perception of taste		
dp_gene5008	Glucosyl glucuronosyl transferases	plasma membrane;integral component of membrane;sensory perception of taste		
dp_gene5009	Glucosyl glucuronosyl transferases	plasma membrane;integral component of membrane;sensory perception of taste		
dp_gene5010	#NAME?	methyltransferase activity;methylation		
dp_gene5011	prolyl-tRNA synthetase associated domain-containing 1-like	aminoacyl-tRNA editing activity;regulation of translational fidelity		
dp_gene5012	nucleosome-remodeling factor subunit NURF301 isoform X1	zinc ion binding		
dp_gene5013	Phosphatidylinositol-glycan biosynthesis class X	membrane part		
dp_gene5014	Cytochrome P450 3A40	integral component of membrane;monooxygenase activity;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;heme binding;oxidation-reduction process		
dp_gene5015	Cytochrome P450 3A40	integral component of membrane;monooxygenase activity;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;heme binding;oxidation-reduction process		
dp_gene5016	Cytochrome P450 3A40	integral component of membrane;monooxygenase activity;iron ion binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;heme binding;oxidation-reduction process		
dp_gene5017	hypothetical protein DAPPUDRAFT_330604			
dp_gene5018	hypothetical protein DAPPUDRAFT_305514			
dp_gene5019	hypothetical protein DAPPUDRAFT_311877			
dp_gene5020	hypothetical protein DAPPUDRAFT_234770			
dp_gene5021	---NA---			
dp_gene5022	5 -nucleotidase	nucleotide binding;hydrolase activity;nucleotide catabolic process		
